ID,Name,Start Time,Location,Host URL,Time Updated
105,Men's Basketball at Florida State,1/10/2017 20:00,Tallahassee  Fla.,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-57d2ac3d-0157-d864e43e-000024c7demobedework%40mysite.edu,2016-12-14 10:05:33.764186
106,Duke Toastmasters Meeting,1/11/2017 7:00,Duke Credit Union 2200 W. Main Street,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-57832023-0157-8a6e43ab-0000637ddemobedework%40mysite.edu_20170111T120000Z,2016-12-14 10:05:33.764191
107,Spring Semester Begins,1/11/2017 8:30,None,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-54c7ebdc-0154-eebbebbf-0000027ademobedework%40mysite.edu,2016-12-14 10:05:33.764196
108,LIVE FOR LIFE @ Duke HealthCheck - Duke Raleigh Hospital Dogwood Room,1/11/2017 10:00,Duke Raleigh Hospital,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-58f8fdd2-0158-f9e2cdcd-00004385demobedework%40mysite.edu,2016-12-14 10:05:33.764202
110,Midweek Prayer,1/11/2017 11:30,Duke Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-569760a6-0156-b2677305-00004ac4demobedework%40mysite.edu_20170111T163000Z,2016-12-14 10:05:33.764212
111,Catholic Daily Mass - Wednesday,1/11/2017 12:00,Duke Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-4f40a47f-014f-42459dca-0000784fdemobedework%40mysite.edu_20170111T170000Z,2016-12-14 10:05:33.764217
112,Undergraduate Drop-in Advising,1/11/2017 13:30,Smith Warehouse - Career Center,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58f34bfa-0158-f3ce3cd4-00001bc9demobedework%40mysite.edu_20170111T183000Z,2016-12-14 10:05:33.764223
113,Dynamic Enhancer Organization in Maintenance of Postmitotic Neuronal Cell Identity,1/11/2017 14:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58b97e66-0158-c08397d3-00007b89demobedework%40mysite.edu,2016-12-14 10:05:33.764229
114,Drop-In Advising for Graduate Students,1/11/2017 14:00,West Union - 241 Meeting Room,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-58f8fdd2-0158-f90aa570-000006fddemobedework%40mysite.edu_20170111T190000Z,2016-12-14 10:05:33.764234
115,Duke Epigenetics Seminar Series,1/11/2017 16:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-57b3e626-0157-b5999ab8-0000491ademobedework%40mysite.edu_20170111T210000Z,2016-12-14 10:05:33.764240
116,Catholic Eucharistic Adoration - Goodson Chapel,1/11/2017 20:00,Divinity School Goodson Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-4f40a47f-014f-423c3769-00006f4cdemobedework%40mysite.edu_20170112T010000Z,2016-12-14 10:05:33.764245
